Kingdom	Pyhlum	Class	Order	Family	Genus	Species	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Rodentibacter	Rodentibacter heylii	13	0.00000	0	0.00000	204	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Erysipelotrichia	Erysipelotrichales	Turicibacteraceae	Turicibacter	89	0.00002	0	0.00000	487	0.00014	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia	unclassified Paraburkholderia	0	0.00000	0	0.00000	0	0.00000	0	0.00000	8023	0.00120	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Diaphorobacter	unclassified Diaphorobacter	0	0.00000	325	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Herminiimonas	Herminiimonas arsenitoxidans	0	0.00000	0	0.00000	22	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	32	0.00001	0	0.00000	720	0.00021	20	0.00000	0	0.00000	0	0.00000	143	0.00003
Duplodnaviria	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Betaherpesvirinae	0	0.00000	0	0.00000	0	0.00000	0	0.00000	211	0.00003	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Shewanellaceae	Shewanella	Shewanella halifaxensis	350	0.00008	0	0.00000	53	0.00002	69	0.00001	0	0.00000	0	0.00000	593	0.00011
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycobacterium	0	0.00000	0	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	298	0.00007	0	0.00000	2012	0.00058	0	0.00000	50	0.00001	19	0.00012	0	0.00000
Duplodnaviria	Heunggongvirae	Peploviricota	Herviviricetes	Herpesvirales	Herpesviridae	Betaherpesvirinae	16	0.00000	0	0.00000	17	0.00000	44	0.00001	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Cardiobacteriales	Cardiobacteriaceae	Cardiobacterium	Cardiobacterium hominis	60	0.00001	0	0.00000	17	0.00000	39	0.00001	20	0.00000	0	0.00000	259	0.00005
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	103	0.00002	42	0.00000	609	0.00018	45	0.00001	82	0.00001	0	0.00000	250	0.00005
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	154	0.00004	0	0.00000	2017	0.00058	0	0.00000	333	0.00005	0	0.00000	222	0.00004
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	0	0.00000	0	0.00000	0	0.00000	368	0.00007	0	0.00000	0	0.00000	0	0.00000
Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Pahexavirus	176	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
