lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter blaseri	18	0.00000	0	0.00000	240	0.00007	0	0.00000	11	0.00000	0	0.00000	1168	0.00022
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__Paenibacillus terrae	169	0.00004	16	0.00000	34	0.00001	22	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Cyanobacteria;c__unclassified Cyanobacteria class;o__Chroococcales;f__Chroococcaceae;g__Gloeocapsa;s__Gloeocapsa sp. PCC 7428	19	0.00000	0	0.00000	181	0.00005	26	0.00001	572	0.00009	0	0.00000	2735	0.00052
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Herelleviridae;g__Harbinvirus;s__Lactobacillus virus Semele	0	0.00000	0	0.00000	29	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Viruses;p__Uroviricota;c__Caudoviricetes;o__Caudovirales;f__Herelleviridae;g__Sciuriunavirus;s__Staphylococcus virus SscM1	0	0.00000	0	0.00000	198	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium;s__Chryseobacterium gleum	251	0.00006	0	0.00000	75	0.00002	0	0.00000	15	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Tenericutes;c__Mollicutes;o__Entomoplasmatales;f__Entomoplasmataceae;g__Mesoplasma;s__Mesoplasma florum	159	0.00004	0	0.00000	291	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Cyanobacteria;c__unclassified Cyanobacteria class;o__Nostocales;f__Nostocaceae;g__Nostoc;s__Nostoc linckia	231	0.00006	0	0.00000	501	0.00014	0	0.00000	42	0.00001	0	0.00000	21	0.00000
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Cedecea;s__Cedecea neteri	67	0.00002	0	0.00000	52	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__Mucilaginibacter sp. 14171R-50	27	0.00001	0	0.00000	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__Caulobacter segnis	0	0.00000	0	0.00000	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__unclassified Bacillales family;g__Exiguobacterium;s__Exiguobacterium sibiricum	0	0.00000	0	0.00000	192	0.00006	0	0.00000	0	0.00000	127	0.00078	0	0.00000
k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Thiomicrospira;s__Thiomicrospira aerophila	62	0.00002	0	0.00000	20	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium sp. BNL1100	2213	0.00054	80	0.00001	4894	0.00141	17	0.00000	885	0.00013	91	0.00056	462	0.00009
k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Chitinimonas;s__Chitinimonas arctica	0	0.00000	0	0.00000	46	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingosinithalassobacter;s__Sphingosinithalassobacter sp. CS137	0	0.00000	10	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Liberibacter;s__Liberibacter crescens	17	0.00000	0	0.00000	53	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Oscillospiraceae;g__Oscillibacter;s__Oscillibacter sp. NSJ-62	884	0.00021	0	0.00000	206	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000
k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bartonellaceae;g__Bartonella;s__Bartonella krasnovii	68	0.00002	0	0.00000	0	0.00000	0	0.00000	60	0.00001	0	0.00000	0	0.00000
