,N2,N3,N4,E1,E3,E4,E5
3.2.1.52,0.23,0.932,1.472,0,0,0,0
2.1.1.199,23.548,558.924,3.94,0,2.001,0.032,0
2.6.1.42,2.527,0.05,6.634,0.019,0,0,0
2.6.1.98,0.057,0.316,1.087,0,0,0,0
2.6.1.2,8.558,0.266,1.789,0.038,0,0,0
3.2.1.86,67.831,28.29,25.472,14.53,1.453,0.389,0.269
2.3.1.234,186.032,93.939,17.072,0.154,0,0,0
2.6.1.102,6.605,0.116,11.366,0,0,0,0.083
3.5.99.6,0.057,0.067,7.857,0,0,0.032,0
2.4.1.21,0.057,19.054,0.158,0,0,0,0
2.3.1.222,1.149,85.785,2.898,0,0,0,0
2.6.1.83,0.689,1.781,448.73,0,0.038,0,0
2.4.2.29,32.795,24.978,14.038,1.713,0,0,9.053
4.1.2.4,2.498,1753.819,6.724,0,0,0.032,0.104
4.2.1.10,3.647,25.76,2.694,0,0,0,0.207
2.7.9.2,0.976,1414.608,15.419,0.192,0,0,0.021
1.15.1.1,1.867,0.166,3.577,0,0,0,0.041
2.6.1.39,0.287,0.1,6.023,0,0,0,0
