"OTUs"	"N2"	"N3"	"N4"	"E1"	"E3"	"E4"	"E5"
285	35	0	0	0	0	0	0
286	589	526	243	212	628	1494	45
287	0	0	0	0	0	0	12
288	14	50	0	0	0	0	869
289	56	0	0	0	0	0	0
290	11	0	0	0	0	0	0
291	0	0	174	0	0	0	0
292	1007	30	1616	35	31	338	3282
293	76	0	0	0	0	0	0
294	0	0	54	0	0	0	0
295	3860	0	10	0	22	0	11
296	26	0	14	0	0	0	0
297	15	0	0	0	0	0	0
298	0	0	1220	0	0	0	23
299	43	0	626	0	0	0	0
300	27	0	0	0	0	0	0
301	0	4394	47	0	0	0	0
302	121	0	1549	705	0	0	784
303	0	0	146	0	0	0	0
304	16	0	198	0	0	0	156
305	115	0	48	0	329	0	874
306	0	12	0	0	0	0	0
307	58	10	188	0	0	0	10
308	88	0	48	0	0	0	66
309	26	0	0	0	0	0	0
310	1257	0	608	0	0	0	0
311	0	0	0	0	0	0	14
312	0	0	427	0	0	58	114
313	58	0	0	0	0	0	0
314	0	0	60	0	0	0	0
315	0	18	57	0	0	0	0
316	20	13	66	0	0	0	0
317	746	0	0	0	154	0	0
318	141	0	0	0	0	0	0
319	0	0	19	0	0	0	0
320	32	0	95	41	0	0	15
321	0	0	21	0	0	0	0
322	0	42	0	0	0	0	0
323	0	0	0	56	0	0	0
324	13	0	31	0	0	0	0
325	0	0	22	0	0	0	0
326	0	0	180	0	0	0	98
327	103	0	1620	0	0	0	0
328	14	2890	153	20	23	0	21
329	0	0	78	47	0	0	0
330	0	0	137	0	0	0	31
331	0	0	24	0	0	0	0
332	0	0	33	0	0	0	126
333	0	0	13	0	0	0	0
334	0	0	16	0	0	0	4627
335	0	0	833	0	0	0	210
336	36	0	369	0	0	0	0
337	0	0	485	0	0	0	0
338	255	0	0	0	0	0	0
339	26	118	194	1771	0	0	0
340	0	21	51	0	0	0	0
341	11	0	21	0	0	0	0
342	10	0	1319	426	0	0	0
343	13	0	0	0	0	0	0
344	35435	0	28	31	0	0	64
345	13	0	18	0	0	0	0
346	0	0	144	0	0	0	0
347	2250	0	776	0	0	58	0
348	1612	0	517	0	0	0	0
349	0	14	123	0	45	0	0
350	137	39	817	0	0	0	0
351	0	0	308	71	93	0	0
352	374	0	0	0	0	0	0
353	83	0	0	0	0	0	0
354	0	0	13	0	72	0	0
355	200	0	0	0	0	0	0
356	61548	324960	392804	2167	7278	24	3660
357	176	0	0	0	0	0	0
358	23	409	47	0	0	0	0
359	0	0	248	0	0	0	1131
360	0	0	19	0	0	0	0
361	135	0	128	0	0	0	0
362	0	0	17	0	0	0	0
363	0	0	358	0	0	0	0
364	58	986	0	0	0	0	0
365	241	0	0	0	0	0	0
366	700	0	382	0	1166	0	180
367	604	0	0	357	0	0	0
368	19	0	25	0	0	0	241
369	15	0	0	0	0	0	0
370	1801	66	970	0	60	0	495
371	100	0	111	0	0	0	0
372	0	0	30	0	0	0	0
373	0	0	461	0	0	0	0
374	112	0	2020	0	0	0	0
375	0	932	72	0	0	0	0
376	144	84	174	686	0	0	0
377	0	0	24	0	0	0	0
378	0	0	0	161	0	0	0
379	0	0	30	0	0	0	117
380	228	0	1138	19	0	0	26
381	0	0	68	0	0	0	0
382	0	0	0	623	0	0	0
383	5693	5208	13192	191	11217	2647	38132
384	123	0	225	0	0	0	15
385	51	9974	83	0	1506	0	0
386	0	0	16	0	0	0	0
387	3363	33025	20776	666	564	0	396
388	0	0	24	16	0	0	0
389	1045	0	621	0	0	0	381
390	82	0	233	0	224	0	0
391	0	0	20	0	0	0	0
392	16	0	0	0	23	0	0
393	0	0	11	0	0	0	0
394	0	0	0	0	21	0	0
395	0	0	0	0	20	0	0
396	56	10	63	0	0	0	0
397	85	0	353	0	0	0	0
398	114	0	0	0	0	0	0
399	321	0	492	0	926	0	15
400	648	72	819	22	0	0	0
401	1704	0	264	16	0	0	56
402	0	0	15	0	0	0	0
403	77	0	58	0	0	0	53
404	102	157	45	0	0	0	73
405	0	0	1744	0	0	0	0
406	0	0	131	0	0	0	0
407	0	0	1689	0	0	0	0
408	0	0	0	0	1395	0	0
409	0	0	74	0	0	0	984
410	14	0	0	0	0	0	0
411	16	0	0	0	0	0	0
412	0	0	174	0	0	0	0
413	251	0	25	12	0	0	0
414	53	0	4387	0	0	282	0
415	0	0	62	16	0	0	16
416	0	11	38	534	0	0	0
417	0	0	143	0	0	0	0
418	0	0	65	0	0	0	24
419	230	0	0	0	0	0	0
420	0	0	18	0	0	0	0
421	0	0	1258	0	0	0	1962
422	0	139	0	0	0	0	0
423	335	21	1592	0	0	0	65
424	164	0	211	0	0	0	61
425	783	10	0	471	0	0	0
426	0	0	84	0	0	0	0
427	667	0	1715	0	704	0	12
428	23	14	403	78	0	0	0
429	0	0	11	0	352	0	0
430	0	0	21	0	0	0	0
431	0	0	94	0	0	0	0
432	59	0	0	0	0	0	0
433	85	0	0	0	0	0	0
434	27	0	0	0	0	0	0
435	0	0	45	0	0	0	18
436	46	0	34	0	0	0	14
437	1612	0	285	0	0	0	0
438	292	0	684	26	30	0	331
439	0	0	0	16	0	0	160
440	0	0	0	0	0	0	3729
441	6110	440	1353	102	11828	0	2343
442	65	0	79	0	0	0	0
443	577	0	0	0	0	0	0
444	0	0	0	297	0	0	0
445	0	0	0	0	0	0	65
446	0	141	0	0	0	0	0
447	0	0	40	0	0	0	0
448	0	0	10	0	40	0	0
449	0	0	147	0	124	0	24
450	999	0	0	0	0	0	0
451	0	1053	464	0	0	0	34
452	2642	0	604	0	75	0	225
453	40	0	30	0	0	0	0
454	107	11	171	0	0	0	0
455	334	0	79	0	0	0	0
456	66	0	0	0	0	0	0
457	13	0	24	0	0	0	0
458	11	0	252	22	0	0	28
459	0	0	880	0	0	0	0
460	0	0	147	0	0	0	0
461	45	0	0	0	0	0	18
462	46	0	797	0	0	0	0
463	0	0	34	0	0	0	0
464	104	0	5439	44	0	0	0
465	0	0	30	138	0	0	6092
466	0	0	27	0	0	0	0
467	94	1528	1088	21	4385	0	438
468	108	0	102	0	0	0	0
469	0	0	133	0	684	0	0
470	19	0	16	0	0	0	0
471	0	0	140	0	0	0	422
472	0	0	46	11	0	0	0
473	10	0	91	0	0	0	0
474	14	0	319	0	0	0	39
475	0	0	0	116	0	0	0
476	0	0	114	19	0	0	0
477	612	13495	2596	0	0	0	0
478	0	41	42	0	0	0	18
479	0	0	52	0	0	0	0
480	0	0	172	0	0	0	0
481	570	0	1072	0	148	0	0
482	75	0	23	0	0	0	0
483	70	0	53	0	758	0	0
484	0	0	390	0	0	0	0
485	0	0	67	0	0	0	0
486	104	0	0	0	0	0	0
487	0	0	30	0	0	0	0
488	12	0	14	0	0	0	0
489	13	10	82	0	0	0	0
490	0	0	359	0	0	0	0
491	0	0	33	546	0	0	0
492	11	1614	335	0	0	0	0
493	39	0	191	24118	17	0	0
494	0	0	0	0	145	0	182
495	51	0	385	0	0	0	0
496	25	0	231	0	521	0	4247
